Marko	Marko	1,nomo
des	ne kadar (fazla, az)	12,partikulo
Adriano	Adrian	12,nomo
viro	adam	12,radiko
kapabla	yetenekli	12,radiko
industrio	endüstri	12,radiko
polico	polis	12,radiko
persono	kişi	12,radiko
simila	benzer	12,radiko
lasta	son	12,radiko
laŭta	yüksek(ses)	12,radiko
orelo	kulak	12,radiko
momento	an	12,radiko
ambaŭ	her ikisi	12,adverbo
direkti	yön	12,radiko
zorgi	ilgilenmek, endişelenmek	12,radiko
situacio	durum	12,radiko
branĉo	dal	12,radiko
rekta	direk	12,radiko
besto	hayvan	12,radiko
promeni	dolaşmak	12,radiko
kavo	mağara	12,radiko
odoro	koku	12,radiko
preta	hazır olmak	12,radiko
ajn	herne, herhangi, herneyse	12,partikulo
efektiva	gerçekte	12,radiko
miri	hayret etmek	12,radiko
koro	kalp	12,radiko
ŝajni	gibi görünmek, sanki	12,radiko
supri	yukarı	12,radiko
buŝo	ağız	12,radiko
provi	denemek	12,radiko
kapti	yakalamak	12,radiko
lampo	lamba	12,radiko
paco	barış	12,radiko
formo	şekillendirmek, biçimlendirmek	12,radiko
teni	tutmak	12,radiko
sono	ses çıkarmak?	12,radiko
aŭtoritato	otorite	12,radiko
nuuuu	eeeee	12,interjekcio
eee	eee	12,interjekcio
fuŝi	batırmak, dağıtmak, yüzüne bulaştırmak	12,radiko
klara	net, açık	12,radiko
eĉ	bile	12,adverbo
tono	ton	12,radiko
ha	ah	12,interjekcio
bieno	arsa, malikane	12,radiko
grafo	Kont (soylu)	12,radiko
monto	dağ	12,radiko
kalva	kel	12,radiko
inviti	davet etmek	12,radiko
peti	rica etmek, talep etmek	12,radiko
teroro	terör, terörie etmek	12,radiko
kontroli	kontrol etmek	12,radiko
ĉirkaŭ	etraf	12,prepozicio
akcepti	kabul etmek	12,radiko
perdi	kaybetmek	12,radiko
