Marko	Marek	1,nomo
tuŝi	dotýkať sa	12,radiko
naturo	príroda	12,radiko
ĝenerali	všeobecný	12,radiko
seki	suchý	12,radiko
paŝi	krok	12,radiko
vivi	život	12,radiko
dolori	bolesť, bolieť	12,radiko
agrabla	príjemný	12,radiko
ju	čím (vo väzbe čím... tým)	12,partikulo
kastelo	hrad	12,radiko
des	tým (vo väzbe čím... tým)	12,partikulo
Adriano	Adrián	12,nomo
viro	muž	12,radiko
kapabla	schopný	12,radiko
industrio	priemysel	12,radiko
polico	polícia	12,radiko
persono	osoba	12,radiko
simila	podobný	12,radiko
lasta	posledný	12,radiko
laŭta	hlasný	12,radiko
orelo	ucho	12,radiko
momento	moment	12,radiko
ambaŭ	obaja	12,adverbo
direkti	smer	12,radiko
zorgi	starosť, starostlivosť	12,radiko
situacio	situácia	12,radiko
branĉo	odbor, odvetvie, konár	12,radiko
rekta	priamy	12,radiko
besto	zviera	12,radiko
promeni	prechádzať sa	12,radiko
kavo	jaskyňa	12,radiko
odoro	vôňa	12,radiko
preta	pripravený	12,radiko
ajn	akýkoľvek, ľubovoľný	12,partikulo
efektiva	skutočne, efektívne	12,radiko
miri	diviť sa	12,radiko
koro	srdce	12,radiko
ŝajni	zdať sa	12,radiko
supri	horný	12,radiko
buŝo	ústa	12,radiko
provi	skúsiť	12,radiko
kapti	chytiť	12,radiko
lampo	lampa	12,radiko
paco	mier	12,radiko
formo	forma	12,radiko
teni	držať	12,radiko
sono	znieť	12,radiko
aŭtoritato	autorita	12,radiko
nuuuu	nooo	12,interjekcio
eee	eee	12,interjekcio
fuŝi	zbabrať, pokaziť	12,radiko
klara	jasný	12,radiko
eĉ	ba aj, dokonca	12,adverbo
tono	tón	12,radiko
ha	ha	12,interjekcio
bieno	statok, hospodárstvo	12,radiko
grafo	gróf	12,radiko
monto	hora	12,radiko
kalva	plešatý	12,radiko
inviti	pozvať	12,radiko
peti	žiadať, prosiť	12,radiko
teroro	teror	12,radiko
kontroli	kontrolovať	12,radiko
ĉirkaŭ	okolo, asi	12,prepozicio
akcepti	prijať	12,radiko
perdi	stratiť	12,radiko
